47, 113
132, 32
Hard to Traverse Center Point #0: (138, 4)
Hard to Traverse Center Point #1: (81, 13)
Hard to Traverse Center Point #2: (82, 66)
Hard to Traverse Center Point #3: (123, 98)
Hard to Traverse Center Point #4: (138, 72)
Hard to Traverse Center Point #5: (82, 73)
Hard to Traverse Center Point #6: (156, 82)
Hard to Traverse Center Point #7: (2, 44)
1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	a1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	2	1	2	1	2	1	2	1	2	1	2	2	1	0	2	1	2	0	1	2	2	2	2	a1	1	0	0	1	2	1	1	1	1	a4	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	2	1	2	2	0	0	2	1	1	0	1	0	1	1	0	0	1	2	1	1	2	1	2	2	0	2	2	1	0	0	1	1	1	0	1	1	0
1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	a1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	0	0	0	1	1	0	2	2	0	2	2	1	1	1	2	2	1	1	1	a1	2	1	2	1	1	1	1	1	1	a4	1	1	0	0	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	2	1	2	1	2	2	1	1	1	2	2	0	2	2	1	2	2	2	1	1	2	0	1	1	1	0	1	1	1	0	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	a1	1	0	1	1	0	1	1	1	0	1	0	1	1	0	1	1	2	2	1	1	2	1	2	1	2	1	1	2	0	2	1	1	2	2	1	0	1	2	1	b1	2	1	2	1	2	1	1	1	1	a4	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	0	2	1	1	2	1	1	2	1	2	2	0	2	1	1	1	0	2	1	1	0	2	2	1	1	0	1	1	0	1	0	1
1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	a1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	2	1	0	1	1	0	2	2	1	0	2	1	2	1	1	0	2	2	2	2	2	2	2	b1	2	0	2	2	2	1	0	1	1	a4	1	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	1	2	1	2	1	1	0	1	1	1	1	0	1	1	2	0	1	0	2	0	0	1	2	1	2	2	1	2	0	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	a1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	0	2	1	2	2	1	2	2	1	1	1	1	2	1	1	b1	2	2	1	1	2	1	0	0	1	a4	0	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	2	1	1	2	1	1	2	2	1	1	2	1	2	2	1	1	2	0	2	0	1	1	2	1	0	1	1	0	1	1	1	1	1	0	1
0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	0	a1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	2	2	0	2	0	2	1	1	1	1	2	2	2	1	2	1	2	2	1	0	b1	1	1	0	2	0	1	0	1	1	a4	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	1	0	2	1	1	2	1	1	1	2	1	0	2	2	2	1	2	2	2	1	0	1	1	1	1	0	1	2	1	2	1	1	1	1	1	1	0
0	1	1	1	1	0	1	1	0	1	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	a1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	2	0	2	2	1	1	1	2	1	2	1	0	0	2	1	0	2	1	2	1	1	b1	1	2	0	1	1	2	1	1	1	a4	a4	a4	a4	a4	a4	a4	a4	a4	a4	a4	a4	a4	a4	a4	a4	a4	a4	a4	a4	a4	a4	a4	a4	a4	b4	b4	a4	b4	a4	b4	b4	a4	a4	a4	a4	b4	b4	a4	a4	b4	b4	a4	a4	a4	b4	b4	b4	a4	b4	b4	b4	b4	b4	a4	a4	a4	a4	a4	a4	a4
1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	a1	0	1	0	1	1	1	0	1	1	0	1	1	0	1	1	0	2	1	1	1	0	0	1	1	2	1	2	0	0	2	1	1	0	1	2	1	0	0	1	b1	2	1	2	0	2	0	1	0	1	0	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	0	1	1	2	2	1	2	1	1	1	2	1	1	0	1	2	1	1	1	2	2	2	0	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	a1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	0	1	2	2	1	1	1	1	0	2	1	1	0	0	0	a1	2	1	1	0	2	2	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	2	2	1	1	1	0	2	1	1	1	2	2	1	0	2	1	1	1	0	1	0	2	2	0	1	1	2	2	1	1	1	0	1	1	0	1
1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	a1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	0	2	1	1	1	1	0	1	1	1	1	1	2	0	2	2	1	2	b1	1	1	1	0	2	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	1	2	2	2	2	0	2	1	2	1	1	0	1	1	2	0	2	1	1	2	1	0	0	1	0	0	1	1	1
